username,day_of_week,start_time,end_time
816031001,0,09:00:00,10:00:00
816031001,0,10:00:00,11:00:00
816031001,2,09:00:00,10:00:00
816031001,2,10:00:00,11:00:00
816031001,2,11:00:00,12:00:00
816031002,0,10:00:00,11:00:00
816031002,0,11:00:00,12:00:00
816031002,3,10:00:00,11:00:00
816031002,3,11:00:00,12:00:00
816031003,0,10:00:00,11:00:00
816031003,0,11:00:00,12:00:00
816031003,0,14:00:00,15:00:00
816031003,0,15:00:00,16:00:00
816031003,1,10:00:00,11:00:00
816031003,1,11:00:00,12:00:00
816031003,1,15:00:00,16:00:00
816031003,1,16:00:00,17:00:00
816031003,2,12:00:00,13:00:00
816031003,2,13:00:00,14:00:00
816031003,2,15:00:00,16:00:00
816031003,2,16:00:00,17:00:00
816031003,3,09:00:00,10:00:00
816031003,3,10:00:00,11:00:00
816031003,3,11:00:00,12:00:00
816031003,3,13:00:00,14:00:00
816031003,3,14:00:00,15:00:00
816031003,3,15:00:00,16:00:00
816031003,3,16:00:00,17:00:00
816031003,4,10:00:00,11:00:00
816031003,4,11:00:00,12:00:00
816031004,0,13:00:00,14:00:00
816031004,1,11:00:00,12:00:00
816031004,1,13:00:00,14:00:00
816031004,4,10:00:00,11:00:00
816031004,4,11:00:00,12:00:00
816031005,0,13:00:00,14:00:00
816031005,0,14:00:00,15:00:00
816031005,0,15:00:00,16:00:00
816031005,3,09:00:00,10:00:00
816031005,3,10:00:00,11:00:00
816031005,4,15:00:00,16:00:00
816031005,4,16:00:00,17:00:00
816031006,0,13:00:00,14:00:00
816031006,0,14:00:00,15:00:00
816031006,0,15:00:00,16:00:00
816031006,3,13:00:00,14:00:00
816031006,3,14:00:00,15:00:00
816031006,3,15:00:00,16:00:00
816031006,4,10:00:00,11:00:00
816031007,0,14:00:00,15:00:00
816031007,0,15:00:00,16:00:00
816031007,1,15:00:00,16:00:00
816031007,2,15:00:00,16:00:00
816031007,2,16:00:00,17:00:00
816031008,0,14:00:00,15:00:00
816031008,0,15:00:00,16:00:00
816031008,2,13:00:00,14:00:00
816031008,2,14:00:00,15:00:00
816031008,2,15:00:00,16:00:00
816031008,4,11:00:00,12:00:00
816031008,4,12:00:00,13:00:00
816031009,1,10:00:00,11:00:00
816031009,3,09:00:00,10:00:00
816031009,4,10:00:00,11:00:00
816031010,2,12:00:00,13:00:00
816031010,2,13:00:00,14:00:00
816031010,2,14:00:00,15:00:00
816031010,2,15:00:00,16:00:00
816031010,3,13:00:00,14:00:00
816031010,3,14:00:00,15:00:00
816031010,3,15:00:00,16:00:00
